account_id,ltd_sales,ytd_sales,ly_sales,mtd_sales,lm_sales,q1_sales,q2_sales,q3_sales,q4_sales,ytd_remake,ly_remake,mtd_remake,lm_remake,q1_remake,q2_remake,q3_remake,q4_remake,product_id,product_type,department,product_group,is_implant
ABDSAM,612.78,612.78,0.0,0.0,0.0,0.0,612.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSPHOTO1,PHOTOGRAMMETRY PACKAGE 1,,,False
ABRORL,160.43,160.43,0.0,0.0,0.0,0.0,160.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRA,CRA,,,False
ABUSIM,20143.72,20143.72,0.0,0.0,386.68,12020.73,7736.3099999999995,386.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADFIX,DIGITAL PRINTED MODEL FIXED (PER ARCH),,,False
ACIMIC,175.07999999999998,175.07999999999998,0.0,175.07999999999998,0.0,0.0,0.0,175.07999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
ADAAMMDYE,692.73,692.73,0.0,0.0,200.0,276.78999999999996,215.94,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGSTNTBSKY,CO-DIAGNOSTIX SURGICAL GUIDE,,,False
ADAWID,3887.48,3887.48,0.0,0.0,0.0,3463.95,423.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNZIRCBR,ZIRC BRIDGE CARVE G/S 2-5,,,False
AGRKAR,1807.6999999999998,1807.6999999999998,0.0,1209.24,0.0,485.94,112.52,1209.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PARTIALDUR,FLEXI PARTIAL W/ PINK CLASPS,,,False
AHMAHMTP,1200.0,1200.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSSCONSULT,IN OFFICE CONVERSION,,,False
AHMSAN,21114.14,21114.14,0.0,0.0,574.74,10254.6,10284.8,574.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
AKADAN,4026.91,4026.91,0.0,205.99,1832.26,465.82,1522.84,2038.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
ALBLAU,338.93,338.93,0.0,0.0,0.0,159.99,178.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRA,CRA,,,False
ALBMONWA,119.50999999999999,119.50999999999999,0.0,0.0,0.0,0.0,119.50999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
ALHRENCH,179.98,179.98,0.0,0.0,0.0,179.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
ALIAMJ,1839.13,1839.13,0.0,0.0,728.38,0.0,1110.75,728.38,0.0,45.52,0.0,0.0,0.0,0.0,45.52,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
ALIFAT,4178.87,4178.87,0.0,119.50999999999999,463.57,2802.98,792.81,583.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
ALLFAH,1129.1399999999999,1129.1399999999999,0.0,0.0,0.0,0.0,1129.1399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELIVERY,Shipping Cost,,,False
ALSDIN,2966.0099999999998,2966.0099999999998,0.0,441.35,902.25,0.0,1622.4099999999999,1343.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
ALSEMA,39218.52,39218.52,37118.0,1392.3200000000002,6164.51,16872.26,14789.43,7556.83,0.0,92.06,1113.49,0.0,0.0,0.0,92.06,0.0,0.0,CRNZIRCBR,ZIRC BRIDGE CARVE G/S 2-5,,,False
AMMADABOU,200.0,200.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGSTNTBSKY,CO-DIAGNOSTIX SURGICAL GUIDE,,,False
ANAANI,5004.780000000001,5004.780000000001,0.0,0.0,3855.78,1149.0,0.0,3855.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DENAO4ZPT,ALL ON 4 ZIRC DENTURE PROTOTYPE,,,False
ANDBRE,4612.5,4612.5,0.0,0.0,0.0,0.0,4612.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHOTOZRBASE,PHOTOGRAMMETRY/DIGITAL FINAL ZR W/TI BASE,,,False
