dashboard,product_id,description,new_units,remake_units,total_units,remake_rate_pct,period
Fixed,CRNPORADRG,PFM PORCELAIN ADJUST/REGLAZE,0,7,7,100.0,1/1/2026 – 9/21/2026
Fixed,CRNZIADJUS,PORCELAIN TO ZIRCONIA ADJUST/REGLAZE,1,20,21,95.2,1/1/2026 – 9/21/2026
Fixed,CRNZAD,ZIRC ADJUST,45,475,520,91.3,1/1/2026 – 9/21/2026
Fixed,CRNZGL,ZIRC REGLAZE,2,9,11,81.8,1/1/2026 – 9/21/2026
Fixed,CRNEMXADRG,EMAX ADJUST/REGLAZE,5,16,21,76.2,1/1/2026 – 9/21/2026
Removable,REMADJ,REMOVABLE ADJUSTMENT,14,32,46,69.6,1/1/2026 – 9/21/2026
Removable,DENVERIJIG,VERIFICATION JIG,2,4,6,66.7,1/1/2026 – 9/21/2026
Removable,CRAREP,CRA SIMPLE REPAIR,5,9,14,64.3,1/1/2026 – 9/21/2026
Removable,DIGDENCL,DIGITAL CLONE DENTURE,3,4,7,57.1,1/1/2026 – 9/21/2026
Fixed,DWXDIAWUP,DIAGNOSTIC WHITE WAX UP,35,44,79,55.7,1/1/2026 – 9/21/2026
Removable,DENFULESET,FULL DENTURE SET UP ECONOMY TEETH,4,5,9,55.6,1/1/2026 – 9/21/2026
Removable,PARTLESS PROTOYPE,PARTLESS PROTOTYPE,14,10,24,41.7,1/1/2026 – 9/21/2026
Removable,MEGTIABUT,MEGAGEN GENUINE TI-ABUTMENT,3,2,5,40.0,1/1/2026 – 9/21/2026
Removable,PARCASTSET,CAST PARTIAL FRAME AND SET TEETH,25,16,41,39.0,1/1/2026 – 9/21/2026
Removable,DENFULLEC,FULL DENTURE ECONOMY,6,3,9,33.3,1/1/2026 – 9/21/2026
Fixed,CRNEMAXL,LAYERED EMAX,51,23,74,31.1,1/1/2026 – 9/21/2026
Fixed,CRNPFMSP,PFM NOBLE (plus alloy at market value/per pennyweight),37,16,53,30.2,1/1/2026 – 9/21/2026
Removable,DENRELINEH,HEATCURE RELINE,35,14,49,28.6,1/1/2026 – 9/21/2026
Removable,DENFULPSET,FULL DENTURE SET UP PREMIUM TEETH,13,5,18,27.8,1/1/2026 – 9/21/2026
Fixed,CRNEMAXVEN,EMAX VENEER,27,10,37,27.0,1/1/2026 – 9/21/2026
Fixed,CRNCHAR,CHARACTERIZATION,12,4,16,25.0,1/1/2026 – 9/21/2026
Removable,ATLTIABUTSMT,ATLANTIS GENUINE TI ABUTMENT SCREWMENTABLE,6,2,8,25.0,1/1/2026 – 9/21/2026
Fixed,CRNMLBDGWG,MARYLAND BRIDGE WING,44,14,58,24.1,1/1/2026 – 9/21/2026
Removable,DENAOFHSC,ALL ON 4 COMFORT H/S BITE SPLINT,10,3,13,23.1,1/1/2026 – 9/21/2026
Removable,DENREPSIM,SIMPLE REPAIR,31,9,40,22.5,1/1/2026 – 9/21/2026
Removable,MEGSR,MEGAGEN GENUINE TI BASE FOR SCREW RETAINED,7,2,9,22.2,1/1/2026 – 9/21/2026
Fixed,CRNPFMB,PFM BASE,176,48,224,21.4,1/1/2026 – 9/21/2026
Removable,DEN2RESET,2ND RESET AND WAX,46,12,58,20.7,1/1/2026 – 9/21/2026
Removable,BIOHSMT,BIO HORIZONS GENUINE SCREWMENTABLE TI ABUTMENT,27,7,34,20.6,1/1/2026 – 9/21/2026
Fixed,DIGEMAXL,DIGITAL EMAX LAYERED,164,34,198,17.2,1/1/2026 – 9/21/2026
Removable,DENSET>10,FULL SET UP (OVER 10),5,1,6,16.7,1/1/2026 – 9/21/2026
Fixed,CRNCS,CUSTOM SHADING,136,25,161,15.5,1/1/2026 – 9/21/2026
Fixed,CRNFCCNP,FULL CAST CROWN BASE ALLOY,11,2,13,15.4,1/1/2026 – 9/21/2026
Removable,CRANTIAPP,NTI APPLIANCE,22,4,26,15.4,1/1/2026 – 9/21/2026
Fixed,CRNEMAXM,MONOLITHIC EMAX,51,9,60,15.0,1/1/2026 – 9/21/2026
Removable,STRTIABUT,STRAUMANN GENUINE TI ABUTMENT,6,1,7,14.3,1/1/2026 – 9/21/2026
Removable,SLPTAP3ELI,DREAM TAP 3 -SLEEP APP,6,1,7,14.3,1/1/2026 – 9/21/2026
Removable,PARTIALCLEAR,CLEAR FLEXIBLE PARTIAL W/ CLASPS,6,1,7,14.3,1/1/2026 – 9/21/2026
Removable,DIGDENECO,DIGITAL FULL DENTURE ECONOMY,36,6,42,14.3,1/1/2026 – 9/21/2026
Removable,DENFULEFIN,FULL DENTURE FINISH ECONOMY TEETH,20,3,23,13.0,1/1/2026 – 9/21/2026
Removable,DENSET>9,SET UP 1-9 TEETH,232,33,265,12.5,1/1/2026 – 9/21/2026
Fixed,DIGEMAXVEN,DIGITAL EMAX VENEER,113,16,129,12.4,1/1/2026 – 9/21/2026
Removable,DIGCRAHARD,DIGITAL CRA HARD,203,27,230,11.7,1/1/2026 – 9/21/2026
Removable,A04RETREAD,A04 RETREAD,8,1,9,11.1,1/1/2026 – 9/21/2026
Removable,DIGFLIP1,5-DIGITAL FLIPPER 1-5 TEETH,126,15,141,10.6,1/1/2026 – 9/21/2026
Removable,PARTIALUNI,UNILATERAL FLEXI PARTIAL,28,3,31,9.7,1/1/2026 – 9/21/2026
Fixed,CRNEZZ,ARTISTIC EZ,1556,158,1714,9.2,1/1/2026 – 9/21/2026
Removable,DENRELS/D,SAME DAY RELINE,10,1,11,9.1,1/1/2026 – 9/21/2026
Removable,PARTIALDUR,FLEXI PARTIAL W/ PINK CLASPS,226,21,247,8.5,1/1/2026 – 9/21/2026
Removable,SMTCRN,SCREWMENTABLE TI ABUTMENT,220,20,240,8.3,1/1/2026 – 9/21/2026
Removable,PARCASTFIN,CAST PARTIAL FRAME PROCESS AND FINISH,126,11,137,8.0,1/1/2026 – 9/21/2026
Removable,DENAO4ZPT,ALL ON 4 ZIRC DENTURE PROTOTYPE,46,4,50,8.0,1/1/2026 – 9/21/2026
Removable,ORTESSEX,ESSEX APPLIANCE,47,4,51,7.8,1/1/2026 – 9/21/2026
Fixed,DIGLAYCRN,DIGITAL LAYERED ZIRC,353,30,383,7.8,1/1/2026 – 9/21/2026
Removable,ENCMOSSMT,MOS ENCODE SCREWMENTABLE TI ABUTMENT,12,1,13,7.7,1/1/2026 – 9/21/2026
Removable,ENCSMT,ENCODE GENUINE SCREWMENTABLE TI ABUTMENT,12,1,13,7.7,1/1/2026 – 9/21/2026
Removable,DENFLIP1,4-FLIPPER 1-4 TEETH,73,6,79,7.6,1/1/2026 – 9/21/2026
Fixed,CRNZILAYA,LAYERED ZIRC,255,21,276,7.6,1/1/2026 – 9/21/2026
Removable,ORTVFRET,VF RETAINER,204,16,220,7.3,1/1/2026 – 9/21/2026
Fixed,CRNBRUX,BRUXZIR,5208,403,5611,7.2,1/1/2026 – 9/21/2026
Fixed,ZRABUT,ZIRCONIA ABUTMENT,13,1,14,7.1,1/1/2026 – 9/21/2026
Removable,DENFLIP5OVER,FLIPPER 5> TEETH,13,1,14,7.1,1/1/2026 – 9/21/2026
Removable,ORTSMILEAA,SMILE SHAPERS ADDITIONAL ALIGNER,134,10,144,6.9,1/1/2026 – 9/21/2026
Removable,CRATHERM,THERMOPLASTIC CRA,72,5,77,6.5,1/1/2026 – 9/21/2026
Fixed,DIGEZZCRN,DIGITAL ARTISTIC EZ,1707,116,1823,6.4,1/1/2026 – 9/21/2026
Removable,TIABUT,TITAINIUM ABUTMENT,93,6,99,6.1,1/1/2026 – 9/21/2026
Fixed,MODC1,PRINTED STUDY MODEL 1 ARCH,66,4,70,5.7,1/1/2026 – 9/21/2026
Removable,DENPRCOV,PROC OVERDENTURE,17,1,18,5.6,1/1/2026 – 9/21/2026
Removable,NOBSR,NOBEL GENUINE TI-BASE FOR SCREW RETAINED CROWN,68,4,72,5.6,1/1/2026 – 9/21/2026
Removable,SCREWRETCRN,SCREW RETAINED CROWN TI-BASE,555,32,587,5.5,1/1/2026 – 9/21/2026
Removable,DENFULL,FULL DENTURE PREMIUM,18,1,19,5.3,1/1/2026 – 9/21/2026
Removable,DENREPCOM,COMPLEX REPAIR,238,13,251,5.2,1/1/2026 – 9/21/2026
Removable,ORTHAWLEY,HAWLEY RETAINER,19,1,20,5.0,1/1/2026 – 9/21/2026
Removable,NOBTIABUT,NOBEL GENUINE TI ABUTMENT,19,1,20,5.0,1/1/2026 – 9/21/2026
Removable,CRA,CRA,406,21,427,4.9,1/1/2026 – 9/21/2026
Fixed,DIGBRUXCRN,DIGITAL BRUXZIR,6435,331,6766,4.9,1/1/2026 – 9/21/2026
Fixed,DIGEMAXMCRN,DIGITAL EMAX MONO,125,6,131,4.6,1/1/2026 – 9/21/2026
Removable,DENAO4ZIRC,ALL ON 4 ZIRC DENTURE FINISH W/ H/S COMFORT GUARD,87,4,91,4.4,1/1/2026 – 9/21/2026
Removable,DENBB,ACRYLIC BASE&BITE RIM,363,16,379,4.2,1/1/2026 – 9/21/2026
Removable,DENFULPFIN,FULL DENTURE FINISH PREMIUM TEETH,158,7,165,4.2,1/1/2026 – 9/21/2026
Removable,PARTIAL,PARTIAL FRAMEWORK,140,6,146,4.1,1/1/2026 – 9/21/2026
Removable,CRAHSC,COMFORT H/S BITE SPLINT,509,22,531,4.1,1/1/2026 – 9/21/2026
Fixed,DIGPFMCRN,DIGITAL PFM,148,5,153,3.3,1/1/2026 – 9/21/2026
Removable,NOBSMT,NOBEL BIOCARE GENUINE SCREWMENTABLE TI ABUTMENT,29,1,30,3.3,1/1/2026 – 9/21/2026
Fixed,CRNFCC,FULL CAST CROWN,29,1,30,3.3,1/1/2026 – 9/21/2026
Fixed,DIGDWXDWU,DIGITAL DIAGNOSTIC WAXUP,562,15,577,2.6,1/1/2026 – 9/21/2026
Removable,DENPROC,PROCESS FINISH,117,3,120,2.5,1/1/2026 – 9/21/2026
Removable,STRSR,STRAUMANN GENUINE TI-BASE FOR SCREW RETAINED CROWN,85,2,87,2.3,1/1/2026 – 9/21/2026
Removable,DENCUSTRAY,CUSTOM TRAY,130,3,133,2.3,1/1/2026 – 9/21/2026
